28,4
28,25
18,14
23,5
27,3
20,19
21,14
20,1
25,21
28,1
20,18
28,14
0,17
17,0
16,8
28,5
8,18
11,26
23,4
25,17
7,12
8,2
25,9
12,0
5,16
23,16
7,9
0,5
25,3
6,23
28,16
16,1
17,26
3,3
26,23
20,23
28,26
12,26
18,0
6,0
5,9
5,4
16,9
16,25
18,12
16,22
12,21
23,15
17,12
16,0
13,26
0,16
5,10
12,24
0,7
16,4
21,17
28,10
20,25
22,12
22,14
13,14
20,3
12,19
5,17
0,4
21,9
0,25
23,11
0,14
26,9
12,16
17,14
0,22
25,8
8,24
8,7
22,23
28,12
18,26
25,11
12,5
6,3
3,14
0,19
0,10
3,12
0,21
12,17
0,26
28,8
3,21
16,19
0,0
12,3
20,2
12,10
20,24
6,14
3,2
16,11
25,23
3,23
12,14

fold along y=13
fold along x=14
fold along y=6
